"表名","字段序号","字段名","标识","主键","类型","占用字节数","长度","小数位数","允许空","默认值","字段说明"
"","11","Recordstatus","","","varchar","50","50","0","y","",""
"EventMeeting_ThirdpartyAssign","1","ID","√","√","int","4","10","0","","",""
"","2","EMSGuid","","","nvarchar","100","50","0","y","",""
"","3","ThirdGuid","","","nvarchar","100","50","0","y","",""
"","4","CRGuid","","","nvarchar","100","50","0","y","","5rWB56iLR1VJRA=="
"","5","CostCenterCode","","","nvarchar","100","50","0","y","","5oiQ5pys5Lit5b+D5Luj56CB"
"","6","CostCenterName","","","nvarchar","100","50","0","y","","5oiQ5pys5Lit5b+D5ZCN56ew"
"","7","ProductCode","","","nvarchar","100","50","0","y","","5Lqn5ZOB5Y+3"
"","8","ProductName","","","nvarchar","100","50","0","y","","5Lqn5ZOB5ZCN56ew"
"","9","ProjectCode","","","nvarchar","100","50","0","y","","6aG555uu5Y+3"
"","10","ProjectName","","","nvarchar","100","50","0","y","","6aG555uu5Y+35ZCN56ew"
"","11","Amount","","","numeric","9","18","2","y","","6YeR6aKd"
"","12","Status","","","int","4","10","0","y","","54q25oCB"
"","13","BillingAmount","","","nvarchar","100","50","0","y","",""
"","14","DeductibleTax","","","nvarchar","100","50","0","y","",""
"","15","NoTaxAmount","","","nvarchar","100","50","0","y","",""
"EMS_Mng_ActivityPurpose","1","id","√","√","int","4","10","0","","",""
"","2","PurposeCode","","","nvarchar","100","50","0","y","","5rS75Yqo55uu55qE57G75Z6LQ29kZQ=="
"","3","PurposeName","","","nvarchar","100","50","0","y","","5rS75Yqo55uu55qE57G75Z6L5ZCN56ew"
"","4","PurposeDesc","","","nvarchar","100","50","0","y","","5rS75Yqo55uu55qE57G75Z6L6K+05piO"
"","5","RightDeptmentName","","","nvarchar","100","50","0","y","",""
"","6","RightDeptmentCode","","","nvarchar","100","50","0","y","",""
"","7","RecordStatus","","","int","4","10","0","y","","54q25oCBIDAu5ZCv55SoIDEu5LiN5ZCv55So"
"Report_EventReport_Summary1","1","id","","","int","4","10","0","","",""
"","2","EventCategory","","","nvarchar","100","50","0","y","",""
"","3","Folio","","","nvarchar","100","50","0","y","",""
"","4","Applicant","","","nvarchar","100","50","0","y","",""
"","5","ApplicantAD","","","nvarchar","100","50","0","y","",""
"","6","EmployeeNo","","","nvarchar","100","50","0","y","",""
"","7","CreateDate","","","datetime","8","23","3","y","",""
"","8","Department","","","nvarchar","100","50","0","y","",""
"","9","Duty","","","nvarchar","100","50","0","y","",""
"","10","CostCenterCode","","","nvarchar","100","50","0","y","",""
"","11","CostCenterDescript","","","nvarchar","100","50","0","y","",""
"","12","CostCenterName","","","nvarchar","100","50","0","y","",""
"","13","CostCenterCode1","","","nvarchar","100","50","0","y","",""
"","14","ProjectCode","","","nvarchar","100","50","0","y","",""
"","15","ProjectName","","","nvarchar","100","50","0","y","",""
"","16","ProductCode","","","nvarchar","100","50","0","y","",""
"","17","ProductName","","","nvarchar","100","50","0","y","",""
"","18","ActivityTitle","","","nvarchar","100","50","0","y","",""
"","19","CostTypeCode","","","nvarchar","100","50","0","y","",""
"","20","CostTypeName","","","nvarchar","100","50","0","y","",""
"","21","SubCategroyCode","","","nvarchar","100","50","0","y","",""
"","22","SubCategroyName","","","nvarchar","100","50","0","y","",""
"","23","ActivityStartDate","","","nvarchar","100","50","0","y","",""
"","24","ActivityEndDate","","","nvarchar","100","50","0","y","",""
"","25","ActualExecutionDate","","","nvarchar","100","50","0","y","",""
"","26","ActualEndDate","","","nvarchar","100","50","0","y","",""
"","27","ExecuteStartDate","","","nvarchar","100","50","0","y","",""
"","28","ExecuteEndDate","","","nvarchar","100","50","0","y","",""
"","29","Amount","","","nvarchar","100","50","0","y","",""
"","30","BillingAmount","","","nvarchar","100","50","0","y","",""
"","31","PlanInternalStaff","","","nvarchar","100","50","0","y","",""
"","32","ActualInternalStaff","","","nvarchar","100","50","0","y","",""
"","33","PlanExternalStaff","","","nvarchar","100","50","0","y","",""
"","34","ActualExternalStaff","","","nvarchar","100","50","0","y","",""
"","35","PlanSpeaker","","","nvarchar","100","50","0","y","",""
"","36","ActualSpeaker","","","nvarchar","100","50","0","y","",""
"","37","PlanLectureFee","","","nvarchar","100","50","0","y","",""
"","38","ActualLectureFee","","","nvarchar","100","50","0","y","",""
"","39","PlanSpeakerProportion","","","nvarchar","100","50","0","y","",""
"","40","ActualSpeakerProportion","","","nvarchar","100","50","0","y","",""
"","41","SpeakerName","","","nvarchar","100","50","0","y","",""
"","42","SAPNo","","","nvarchar","100","50","0","y","",""
"","43","DownloadTime","","","datetime","8","23","3","y","",""
"","44","LocalName","","","nvarchar","100","50","0","y","",""
"","45","PayDate","","","datetime","8","23","3","y","",""
"","46","VendorCode","","","nvarchar","100","50","0","y","",""
"","47","VendorName","","","nvarchar","100","50","0","y","",""
"","48","Rate","","","nvarchar","100","50","0","y","",""
"","49","PaymentDate","","","datetime","8","23","3","y","",""
"","50","PaymentFolio","","","nvarchar","100","50","0","y","",""
"","51","PaymentActivityName","","","nvarchar","100","50","0","y","",""
"","52","PaymentActivityDestination","","","nvarchar","100","50","0","y","",""
"","53","EventName","","","nvarchar","100","50","0","y","",""
"","54","ActivityContent","","","nvarchar","1000","500","0","y","",""
"","55","ActivitySchedule","","","nvarchar","1000","500","0","y","",""
"","56","ActivityName","","","nvarchar","100","50","0","y","",""
"","57","ApproveStatus","","","nvarchar","100","50","0","y","",""
"","58","IsConfimEvent","","","nvarchar","100","50","0","y","",""
"","59","EMSGuid","","","nvarchar","100","50","0","y","",""
"","60","EventSubmitDate","","","datetime","8","23","3","y","",""
"","61","ActivityPurposeName","","","nvarchar","100","50","0","y","",""
"","62","OtherPurposeDesc","","","nvarchar","1000","500","0","y","",""
"","63","EMSNodeStatus","","","nvarchar","100","50","0","y","",""
"","64","CancelEventPayment","","","nvarchar","20","10","0","y","","5pKk6ZSA5rS75Yqo"
"","65","CancelOrderPayment","","","nvarchar","20","10","0","y","","5Y+W5raI5LuY5qy+"
"EMS_Order_Summary","1","id","√","√","int","4","10","0","","","5Li76ZSu77yM5ZSv5LiA"
"","2","EMSGuid","","","nvarchar","100","50","0","y","","5rWB56iLR3VpZA=="
"","3","Folio","","","nvarchar","100","50","0","y","","5rWB56iL5Y2V5Y+3"
"","4","PONo","","","nvarchar","100","50","0","y","","6K6i5Y2V5Y+3"
"","5","ApplicantAmount","","","nvarchar","100","50","0","y","","55Sz6K+36YeR6aKd"
"","6","BillingAmount","","","nvarchar","100","50","0","y","","5oql6LSm6YeR6aKd"
"","7","IsPayment","","","nvarchar","100","50","0","y","","5piv5ZCm5LuY5qy+"
"","8","EMSPaymentFinish","","","nvarchar","100","50","0","y","","RU1T5rWB56iL5LuY5qy+5piv5ZCm5a6M5oiQ"
"","9","RecordStatus","","","int","4","10","0","y","","54q25oCB"
"","10","DownloadTime","","","datetime","8","23","3","y","",""
"","11","DownloadUserAD","","","nvarchar","100","50","0","y","",""
"EventMeeting_ThirdBaiscInfo","1","id","√","√","int","4","10","0","","",""
"","2","EMSGuid","","","nvarchar","100","50","0","y","","5rWB56iLR3VpZA=="
"","3","CostCode","","","nvarchar","100","50","0","y","","6ZyA5rGC57G75Z6LQ09ERQ=="
"","4","CostName","","","nvarchar","100","50","0","y","","6ZyA5rGC57G75Z6L5ZCN56ew"
"","5","DemondAmount","","","numeric","9","18","2","y","","6ZyA5rGC6YeR6aKd"
"Report_EventReport_Personal","1","id","√","√","int","4","10","0","","",""
"","2","Folio","","","nvarchar","100","50","0","y","",""
"","3","Applicant","","","nvarchar","100","50","0","y","",""
"","4","ApplicantAD","","","nvarchar","100","50","0","y","",""
"","5","EmployeeNo","","","nvarchar","100","50","0","y","",""
"","6","CreateDate","","","datetime","8","23","3","y","",""
"","7","Department","","","nvarchar","100","50","0","y","",""
"","8","Duty","","","nvarchar","100","50","0","y","",""
"","9","CostCenterCode","","","nvarchar","100","50","0","y","",""
"","10","CostCenterDescript","","","nvarchar","100","50","0","y","",""
"","11","CostCenterName","","","nvarchar","100","50","0","y","",""
"","12","CostCenterCode1","","","nvarchar","100","50","0","y","",""
"","13","ProjectCode","","","nvarchar","100","50","0","y","",""
"","14","ProjectName","","","nvarchar","100","50","0","y","",""
"","15","ProductCode","","","nvarchar","100","50","0","y","",""
"","16","ProductName","","","nvarchar","100","50","0","y","",""
"","17","ActivityTitle","","","nvarchar","100","50","0","y","",""
"","18","CostTypeCode","","","nvarchar","100","50","0","y","",""
"","19","CostTypeName","","","nvarchar","100","50","0","y","",""
"","20","SubCategroyCode","","","nvarchar","100","50","0","y","",""
"","21","SubCategroyName","","","nvarchar","100","50","0","y","",""
"","22","ActivityStartDate","","","datetime","8","23","3","y","",""
"","23","ActivityEndDate","","","datetime","8","23","3","y","",""
"","24","ActualExecutionDate","","","datetime","8","23","3","y","",""
"","25","ActualEndDate","","","datetime","8","23","3","y","",""
"","26","ExecuteStartDate","","","datetime","8","23","3","y","",""
"","27","ExecuteEndDate","","","datetime","8","23","3","y","",""
"","28","Amount","","","nvarchar","100","50","0","y","",""
"","29","BillingAmount","","","nvarchar","100","50","0","y","",""
"","30","PaymentType","","","nvarchar","100","50","0","y","",""
"","31","PlanInternalStaff","","","nvarchar","100","50","0","y","",""
"","32","ActualInternalStaff","","","nvarchar","100","50","0","y","",""
"","33","PlanExternalStaff","","","nvarchar","100","50","0","y","",""
"","34","ActualExternalStaff","","","nvarchar","100","50","0","y","",""
"","35","PlanSpeaker","","","nvarchar","100","50","0","y","",""
"","36","ActualSpeaker","","","nvarchar","100","50","0","y","",""
"","37","PlanLectureFee","","","nvarchar","100","50","0","y","",""
"","38","ActualLectureFee","","","nvarchar","100","50","0","y","",""
"","39","PlanSpeakerProportion","","","nvarchar","100","50","0","y","",""
"","40","ActualSpeakerProportion","","","nvarchar","100","50","0","y","",""
"","41","SpeakerName","","","nvarchar","100","50","0","y","",""
"","42","SAPNo","","","nvarchar","100","50","0","y","",""
"","43","DownloadTime","","","datetime","8","23","3","y","(NULL)",""
"","44","LocalName","","","nvarchar","100","50","0","y","",""
"","45","PayDate","","","datetime","8","23","3","y","",""
"","46","VendorCode","","","nvarchar","100","50","0","y","",""
"","47","VendorName","","","nvarchar","100","50","0","y","",""
"","48","Rate","","","nvarchar","100","50","0","y","",""
"","49","PaymentDate","","","datetime","8","23","3","y","",""
"","50","PaymentFolio","","","nvarchar","100","50","0","y","",""
"","51","EventName","","","nvarchar","100","50","0","y","",""
"","52","ActivityContent","","","nvarchar","1000","500","0","y","",""
"","53","ActivitySchedule","","","nvarchar","1000","500","0","y","",""
"","54","ActivityName","","","nvarchar","100","50","0","y","",""
"","55","IsFinished","","","nvarchar","100","50","0","y","",""
"","56","Item1","","","nvarchar","100","50","0","y","",""
"","57","Item2","","","nvarchar","100","50","0","y","",""
"","58","IsSubmitService","","","nvarchar","100","50","0","y","",""
"","59","EMSGuid","","","nvarchar","100","50","0","y","",""
"","60","EventSubmitDate","","","datetime","8","23","3","y","",""
"","61","ActivityPurposeName","","","nvarchar","100","50","0","y","",""
"","62","OtherPurposeDesc","","","nvarchar","1000","500","0","y","",""
"","63","EMSNodeStatus","","","nvarchar","100","50","0","y","",""
"","64","SpeakerServiceResult","","","nvarchar","100","50","0","y","",""
"RAP_TE_Company","1","ID","√","√","int","4","10","0","","",""
"","2","CompanyName","","","nvarchar","100","50","0","y","",""
"","3","CompanyCode","","","nvarchar","100","50","0","y","",""
"","4","RecordStatus","","","int","4","10","0","y","",""
"EMS_Log_SpeakerChangeLog","1","id","√","√","int","4","10","0","","",""
"","2","EMSGuid","","","nvarchar","100","50","0","y","",""
"","3","Folio","","","nvarchar","100","50","0","y","",""
"","4","Applicant","","","nvarchar","100","50","0","y","",""
"","5","ApplicantAD","","","nvarchar","100","50","0","y","",""
"","6","SpeakerName","","","nvarchar","100","50","0","y","",""
"","7","SpeakerIDNumber","","","nvarchar","100","50","0","y","",""
"","8","Amount","","","nvarchar","100","50","0","y","",""
"","9","CreateTime","","","datetime","8","23","3","y","",""
"","10","RecordStatus","","","int","4","10","0","y","",""
"Report_EventReport_Speaker","1","id","√","","int","4","10","0","","",""
"","2","Folio","","","nvarchar","100","50","0","y","",""
"","3","Applicant","","","nvarchar","100","50","0","y","",""
"","4","ApplicantAD","","","nvarchar","100","50","0","y","",""
"","5","EmployeeNo","","","nvarchar","100","50","0","y","",""
"","6","CreateDate","","","datetime","8","23","3","y","",""
"","7","Department","","","nvarchar","100","50","0","y","",""
"","8","Duty","","","nvarchar","100","50","0","y","",""
"","9","CostCenterCode","","","nvarchar","100","50","0","y","",""
"","10","CostCenterDescript","","","nvarchar","100","50","0","y","",""
"","11","CostCenterName","","","nvarchar","100","50","0","y","",""
"","12","CostCenterCode1","","","nvarchar","100","50","0","y","",""
"","13","ProjectCode","","","nvarchar","100","50","0","y","",""
"","14","ProjectName","","","nvarchar","100","50","0","y","",""
"","15","ProductCode","","","nvarchar","100","50","0","y","",""
"","16","ProductName","","","nvarchar","100","50","0","y","",""
"","17","ActivityTitle","","","nvarchar","100","50","0","y","",""
"","18","CostTypeCode","","","nvarchar","100","50","0","y","",""
"","19","CostTypeName","","","nvarchar","100","50","0","y","",""
"","20","SubCategroyCode","","","nvarchar","100","50","0","y","",""
"","21","SubCategroyName","","","nvarchar","100","50","0","y","",""
"","22","ActivityStartDate","","","datetime","8","23","3","y","",""
"","23","ActivityEndDate","","","datetime","8","23","3","y","",""
"","24","ActualExecutionDate","","","datetime","8","23","3","y","",""
"","25","ActualEndDate","","","datetime","8","23","3","y","",""
"","26","ExecuteStartDate","","","datetime","8","23","3","y","",""
"","27","ExecuteEndDate","","","datetime","8","23","3","y","",""
"","28","Amount","","","nvarchar","100","50","0","y","",""
"","29","BillingAmount","","","nvarchar","100","50","0","y","",""
"","30","PlanInternalStaff","","","nvarchar","100","50","0","y","",""
"","31","ActualInternalStaff","","","nvarchar","100","50","0","y","",""
"","32","PlanExternalStaff","","","nvarchar","100","50","0","y","",""
"","33","ActualExternalStaff","","","nvarchar","100","50","0","y","",""
"","34","PlanSpeaker","","","nvarchar","100","50","0","y","",""
"","35","ActualSpeaker","","","nvarchar","100","50","0","y","",""
"","36","PlanLectureFee","","","nvarchar","100","50","0","y","",""
"","37","ActualLectureFee","","","nvarchar","100","50","0","y","",""
"","38","PlanSpeakerProportion","","","nvarchar","100","50","0","y","",""
"","39","ActualSpeakerProportion","","","nvarchar","100","50","0","y","",""
"","40","SpeakerName","","","nvarchar","100","50","0","y","",""
"","41","SAPNo","","","nvarchar","100","50","0","y","",""
"","42","DownloadTime","","","datetime","8","23","3","y","",""
"","43","LocalName","","","nvarchar","100","50","0","y","",""
"","44","PayDate","","","datetime","8","23","3","y","",""
"","45","VendorCode","","","nvarchar","100","50","0","y","",""
"","46","VendorName","","","nvarchar","100","50","0","y","",""
"","47","Rate","","","nvarchar","100","50","0","y","",""
"","48","PaymentDate","","","datetime","8","23","3","y","",""
"","49","PaymentFolio","","","nvarchar","100","50","0","y","",""
"","50","EventName","","","nvarchar","100","50","0","y","",""
"","51","ActivityContent","","","nvarchar","1000","500","0","y","",""
"","52","ActivitySchedule","","","nvarchar","1000","500","0","y","",""
"","53","ActivityName","","","nvarchar","100","50","0","y","",""
"","54","IsFinished","","","nvarchar","100","50","0","y","",""
"","55","Item1","","","nvarchar","100","50","0","y","",""
"","56","Item2","","","nvarchar","100","50","0","y","",""
"","57","IsSubmitService","","","nvarchar","100","50","0","y","",""
"","58","EMSGuid","","","nvarchar","100","50","0","y","",""
"","59","EventSubmitDate","","","datetime","8","23","3","y","",""
"","60","ActivityPurposeName","","","nvarchar","100","50","0","y","",""
"","61","OtherPurposeDesc","","","nvarchar","1000","500","0","y","",""
"","62","EMSNodeStatus","","","nvarchar","100","50","0","y","",""
"","63","SpeakerServiceResult","","","nvarchar","100","50","0","y","",""
"EventMeeting_EventDetailInfo","1","ID","√","√","int","4","10","0","","",""
"","2","EMSGuid","","","nvarchar","100","50","0","y","",""
"","3","CRGuid","","","nvarchar","100","50","0","y","","5rWB56iLR1VJRA=="
"","4","CostCode","","","nvarchar","100","50","0","y","","5oiQ5pys5Lit5b+DQ29kZQ=="
"","5","CostName","","","nvarchar","100","50","0","y","","5oiQ5pys5Lit5b+D5ZCN56ew"
"","6","ApplicantAmount","","","numeric","9","18","2","y","","55Sz6K+36YeR6aKd"
"","7","AccountAmount","","","numeric","9","18","2","y","","5oql6LSm6YeR6aKd"
"","8","RecordStatus","","","int","4","10","0","y","","54q25oCBIDEtLeWQr+eUqCAwLS3npoHnlKg="
"","9","ThirdGuid","","","nvarchar","100","50","0","y","",""
"","10","TargetType","","","int","4","10","0","y","",""
"","11","Remarks","","","nvarchar","1000","500","0","y","",""
"","12","BillingAmount","","","nvarchar","100","50","0","y","",""
"","13","InvoiceDate","","","nvarchar","100","50","0","y","",""
"Report_EventReport_ThirdParty","1","id","√","","int","4","10","0","","",""
"","2","Folio","","","nvarchar","100","50","0","y","",""
"","3","Applicant","","","nvarchar","100","50","0","y","",""
"","4","ApplicantAD","","","nvarchar","100","50","0","y","",""
"","5","EmployeeNo","","","nvarchar","100","50","0","y","",""
"","6","CreateDate","","","datetime","8","23","3","y","",""
"","7","Department","","","nvarchar","100","50","0","y","",""
"","8","Duty","","","nvarchar","100","50","0","y","",""
"","9","CostCenterCode","","","nvarchar","100","50","0","y","",""
"","10","CostCenterDescript","","","nvarchar","100","50","0","y","",""
"","11","CostCenterName","","","nvarchar","100","50","0","y","",""
"","12","CostCenterCode1","","","nvarchar","100","50","0","y","",""
"","13","ProjectCode","","","nvarchar","100","50","0","y","",""
"","14","ProjectName","","","nvarchar","100","50","0","y","",""
"","15","ProductCode","","","nvarchar","100","50","0","y","",""
"","16","ProductName","","","nvarchar","100","50","0","y","",""
"","17","ActivityTitle","","","nvarchar","100","50","0","y","",""
"","18","CostTypeCode","","","nvarchar","100","50","0","y","",""
"","19","CostTypeName","","","nvarchar","100","50","0","y","",""
"","20","SubCategroyCode","","","nvarchar","100","50","0","y","",""
"","21","SubCategroyName","","","nvarchar","100","50","0","y","",""
"","22","ActivityStartDate","","","datetime","8","23","3","y","",""
"","23","ActivityEndDate","","","datetime","8","23","3","y","",""
"","24","ActualExecutionDate","","","datetime","8","23","3","y","",""
"","25","ActualEndDate","","","datetime","8","23","3","y","",""
"","26","ExecuteStartDate","","","datetime","8","23","3","y","",""
"","27","ExecuteEndDate","","","datetime","8","23","3","y","",""
"","28","Amount","","","nvarchar","100","50","0","y","",""
"","29","BillingAmount","","","nvarchar","100","50","0","y","",""
"","30","PaymentType","","","nvarchar","100","50","0","y","",""
"","31","PlanInternalStaff","","","nvarchar","100","50","0","y","",""
"","32","ActualInternalStaff","","","nvarchar","100","50","0","y","",""
"","33","PlanExternalStaff","","","nvarchar","100","50","0","y","",""
"","34","ActualExternalStaff","","","nvarchar","100","50","0","y","",""
"","35","PlanSpeaker","","","nvarchar","100","50","0","y","",""
"","36","ActualSpeaker","","","nvarchar","100","50","0","y","",""
"","37","PlanLectureFee","","","nvarchar","100","50","0","y","",""
"","38","ActualLectureFee","","","nvarchar","100","50","0","y","",""
"","39","PlanSpeakerProportion","","","nvarchar","100","50","0","y","",""
"","40","ActualSpeakerProportion","","","nvarchar","100","50","0","y","",""
"","41","SpeakerName","","","nvarchar","100","50","0","y","",""
"","42","SAPNo","","","nvarchar","100","50","0","y","",""
"","43","DownloadTime","","","datetime","8","23","3","y","",""
"","44","LocalName","","","nvarchar","100","50","0","y","",""
"","45","PayDate","","","datetime","8","23","3","y","",""
"","46","VendorCode","","","nvarchar","100","50","0","y","",""
"","47","VendorName","","","nvarchar","100","50","0","y","",""
"","48","Rate","","","nvarchar","100","50","0","y","",""
"","49","PaymentDate","","","datetime","8","23","3","y","",""
"","50","PaymentFolio","","","nvarchar","100","50","0","y","",""
"","51","EventName","","","nvarchar","100","50","0","y","",""
"","52","ActivityContent","","","nvarchar","1000","500","0","y","",""
"","53","ActivitySchedule","","","nvarchar","1000","500","0","y","",""
"","54","ActivityName","","","nvarchar","100","50","0","y","",""
"","55","IsFinished","","","nvarchar","100","50","0","y","",""
"","56","Item1","","","nvarchar","100","50","0","y","",""
"","57","Item2","","","nvarchar","100","50","0","y","",""
"","58","IsSubmitService","","","nvarchar","100","50","0","y","",""
"","59","EMSGuid","","","nvarchar","100","50","0","y","",""
"","60","EventSubmitDate","","","datetime","8","23","3","y","",""
"","61","ActivityPurposeName","","","nvarchar","100","50","0","y","",""
"","62","OtherPurposeDesc","","","nvarchar","1000","500","0","y","",""
"","63","EMSNodeStatus","","","nvarchar","100","50","0","y","",""
"","64","SpeakerServiceResult","","","nvarchar","100","50","0","y","",""
"EMS_Mng_PersonalAmount","1","id","√","√","int","4","10","0","","",""
"","2","ApplicantName","","","nvarchar","100","50","0","y","","55Sz6K+35Lq6"
"","3","ApplicantAD","","","nvarchar","100","50","0","y","","55Sz6K+35Lq66LSm5Y+3"
"","4","Folio","","","nvarchar","100","50","0","y","","5rWB56iL5Y2V5Y+3"
"","5","Year","","","int","4","10","0","y","",""
"","6","Month","","","int","4","10","0","y","","5pyI5Lu9"
"","7","Amount","","","float","8","53","0","y","","6YeR6aKd"
"","8","RecordStatus","","","int","4","10","0","y","","54q25oCB"
"","9","EMSGuid","","","nvarchar","100","50","0","y","",""
"","10","CostCategoryCode","","","nvarchar","100","50","0","y","",""
"","11","CostCategoryName","","","nvarchar","100","50","0","y","",""
"Report_EventReport_Purchase","1","id","√","","int","4","10","0","","",""
"","2","Folio","","","nvarchar","100","50","0","y","",""
"","3","Applicant","","","nvarchar","100","50","0","y","",""
"","4","ApplicantAD","","","nvarchar","100","50","0","y","",""
"","5","EmployeeNo","","","nvarchar","100","50","0","y","",""
"","6","CreateDate","","","datetime","8","23","3","y","",""
"","7","Department","","","nvarchar","100","50","0","y","",""
"","8","Duty","","","nvarchar","100","50","0","y","",""
"","9","CostCenterCode","","","nvarchar","100","50","0","y","",""
"","10","CostCenterDescript","","","nvarchar","100","50","0","y","",""
"","11","CostCenterName","","","nvarchar","100","50","0","y","",""
"","12","CostCenterCode1","","","nvarchar","100","50","0","y","",""
"","13","ProjectCode","","","nvarchar","100","50","0","y","",""
"","14","ProjectName","","","nvarchar","100","50","0","y","",""
"","15","ProductCode","","","nvarchar","100","50","0","y","",""
"","16","ProductName","","","nvarchar","100","50","0","y","",""
"","17","ActivityTitle","","","nvarchar","100","50","0","y","",""
"","18","CostTypeCode","","","nvarchar","100","50","0","y","",""
"","19","CostTypeName","","","nvarchar","100","50","0","y","",""
"","20","SubCategroyCode","","","nvarchar","100","50","0","y","",""
"","21","SubCategroyName","","","nvarchar","100","50","0","y","",""
"","22","ActivityStartDate","","","datetime","8","23","3","y","",""
"","23","ActivityEndDate","","","datetime","8","23","3","y","",""
"","24","ActualExecutionDate","","","datetime","8","23","3","y","",""
"","25","ActualEndDate","","","datetime","8","23","3","y","",""
"","26","ExecuteStartDate","","","datetime","8","23","3","y","",""
"","27","ExecuteEndDate","","","datetime","8","23","3","y","",""
"","28","Amount","","","nvarchar","100","50","0","y","",""
"","29","BillingAmount","","","nvarchar","100","50","0","y","",""
"","30","PaymentType","","","nvarchar","100","50","0","y","",""
"","31","PlanInternalStaff","","","nvarchar","100","50","0","y","",""
"","32","ActualInternalStaff","","","nvarchar","100","50","0","y","",""
"","33","PlanExternalStaff","","","nvarchar","100","50","0","y","",""
"","34","ActualExternalStaff","","","nvarchar","100","50","0","y","",""
"","35","PlanSpeaker","","","nvarchar","100","50","0","y","",""
"","36","ActualSpeaker","","","nvarchar","100","50","0","y","",""
"","37","PlanLectureFee","","","nvarchar","100","50","0","y","",""
"","38","ActualLectureFee","","","nvarchar","100","50","0","y","",""
"","39","PlanSpeakerProportion","","","nvarchar","100","50","0","y","",""
"","40","ActualSpeakerProportion","","","nvarchar","100","50","0","y","",""
"","41","SpeakerName","","","nvarchar","100","50","0","y","",""
"","42","SAPNo","","","nvarchar","100","50","0","y","",""
"","43","DownloadTime","","","datetime","8","23","3","y","",""
"","44","LocalName","","","nvarchar","100","50","0","y","",""
"","45","PayDate","","","datetime","8","23","3","y","",""
"","46","VendorCode","","","nvarchar","100","50","0","y","",""
"","47","VendorName","","","nvarchar","100","50","0","y","",""
"","48","Rate","","","nvarchar","100","50","0","y","",""
"","49","PaymentDate","","","datetime","8","23","3","y","",""
"","50","PaymentFolio","","","nvarchar","100","50","0","y","",""
"","51","EventName","","","nvarchar","100","50","0","y","",""
"","52","ActivityContent","","","nvarchar","1000","500","0","y","",""
"","53","ActivitySchedule","","","nvarchar","1000","500","0","y","",""
"","54","ActivityName","","","nvarchar","100","50","0","y","",""
"","55","IsFinished","","","nvarchar","100","50","0","y","",""
"","56","Item1","","","nvarchar","100","50","0","y","",""
"","57","Item2","","","nvarchar","100","50","0","y","",""
"","58","IsSubmitService","","","nvarchar","100","50","0","y","",""
"","59","EMSGuid","","","nvarchar","100","50","0","y","",""
"","60","EventSubmitDate","","","datetime","8","23","3","y","",""
"","61","ActivityPurposeName","","","nvarchar","100","50","0","y","",""
"","62","OtherPurposeDesc","","","nvarchar","1000","500","0","y","",""
"","63","EMSNodeStatus","","","nvarchar","100","50","0","y","",""
"","64","SpeakerServiceResult","","","nvarchar","100","50","0","y","",""
"EMS_Mng_SpeakerChangeStatus","1","id","√","√","int","4","10","0","","","5Li76ZSuIElEIOWUr+S4gA=="
"","2","EMSGuid","","","nvarchar","100","50","0","y","","5rWB56iLR1VJRA=="
"","3","Folio","","","nvarchar","100","50","0","y","","5rWB56iL5Y2V5Y+3"
"","4","ChangeSpeaker","","","int","4","10","0","y","","6K6y6ICF5L+u5pS554q25oCB"
"","5","RecordStatus","","","int","4","10","0","y","","54q25oCBIDAu5ZCv55SoIDEu5LiN5ZCv55So"
"Report_EventReport_Summary","1","id","√","","int","4","10","0","","",""
"","2","EventCategory","","","nvarchar","100","50","0","y","",""
"","3","Folio","","","nvarchar","100","50","0","y","",""
"","4","Applicant","","","nvarchar","100","50","0","y","",""
"","5","ApplicantAD","","","nvarchar","100","50","0","y","",""
"","6","EmployeeNo","","","nvarchar","100","50","0","y","",""
"","7","CreateDate","","","datetime","8","23","3","y","",""
"","8","Department","","","nvarchar","100","50","0","y","",""
"","9","Duty","","","nvarchar","100","50","0","y","",""
"","10","CostCenterCode","","","nvarchar","100","50","0","y","",""
"","11","CostCenterDescript","","","nvarchar","100","50","0","y","",""
"","12","CostCenterName","","","nvarchar","100","50","0","y","",""
"","13","CostCenterCode1","","","nvarchar","100","50","0","y","",""
"","14","ProjectCode","","","nvarchar","100","50","0","y","",""
"","15","ProjectName","","","nvarchar","100","50","0","y","",""
"","16","ProductCode","","","nvarchar","100","50","0","y","",""
"","17","ProductName","","","nvarchar","100","50","0","y","",""
"","18","ActivityTitle","","","nvarchar","100","50","0","y","",""
"","19","CostTypeCode","","","nvarchar","100","50","0","y","",""
"","20","CostTypeName","","","nvarchar","100","50","0","y","",""
"","21","SubCategroyCode","","","nvarchar","100","50","0","y","",""
"","22","SubCategroyName","","","nvarchar","100","50","0","y","",""
"","23","ActivityStartDate","","","nvarchar","100","50","0","y","",""
"","24","ActivityEndDate","","","nvarchar","100","50","0","y","",""
"","25","ActualExecutionDate","","","nvarchar","100","50","0","y","",""
"","26","ActualEndDate","","","nvarchar","100","50","0","y","",""
"","27","ExecuteStartDate","","","nvarchar","100","50","0","y","",""
"","28","ExecuteEndDate","","","nvarchar","100","50","0","y","",""
"","29","Amount","","","nvarchar","100","50","0","y","",""
"","30","BillingAmount","","","nvarchar","100","50","0","y","",""
"","31","PaymentType","","","nvarchar","100","50","0","y","",""
"","32","PlanInternalStaff","","","nvarchar","100","50","0","y","",""
